,,,,,,,,,,,,,,,,,
id,"Bulding or
Factory",Division,Section,Area,PC Name,"PC Type
PC,
NB,
WS,
Other","Maker 
& Model","Serial Number
CPU","User 
owner",OS Use,License/Free,Window License ,OS License ,"MS 
Office ",Version,"Legally 
purchase
Yes,
No,
Free","Refer Document
If Yes,
Cert,
P/O,
REQ"
88,Spindle,Spindle Assembly,QC,Laser Room,BAR.-253,PC,-,-,Production,Win10,Yes,K2N97-3BJQR-FX27M-FJF2V-JQKTR,Win10,-,-,-,
89,Spindle,Spindle Assembly,QC,Laser Room,BAR.-139,PC,Lenovo 2756,-,Production,Win7,Yes,C4CDX-CBRYC-9WDK6-WJX27-3Y98C,Win7,Excel,2007,No,
90,Spindle,Spindle Assembly,QC,Laser Room,BAR.-729,PC,-,-,Production,Win10,Yes,MMDJP-78HFM-XBPQM-PDRMP-87YQ7,Win10,-,-,-,
91,Spindle,Spindle Assembly,QC,Laser Room,BAR.-202,PC,-,-,Production,Win10,Yes,MK8JP-NGQQR-XMFK6-YHR3F-R3KTR,Win10,-,-,-,
92,Spindle,Spindle Assembly,QC,Laser Room,BAR.-329,PC,-,-,Production,Win10,Yes,NQB2W-PWRFT-K88R2-CWM4M-CWF9F,Win10,-,-,-,
93,Spindle,Spindle Assembly,QC,Laser Room,BAR.-331,PC,-,-,Production,Win10,Yes,3V8F2-WNGQX-3QPT3-RX9BV-YY49F,Win10,-,-,-,
94,Spindle,Spindle Assembly,QC,Laser Room,BAR.-332,PC,-,-,Production,Win10,Yes,CB2W7-TCNRM-6KRB3-KRFJF-W8F9F,Win10,-,-,-,
95,Spindle,Spindle Assembly,QC,Laser Room,BAR.-108,PC,-,-,QC,Win10,Yes,2N29P-8TVP2-378BW-HYPXK-8QK2P,Win10,-,-,-,
96,Spindle,Spindle Assembly,QC,Laser Room,BAR.-254,PC,-,-,QC,Win10,Yes,38NQT-FC7PX-XXX7P-R3TV8-RX8XF,Win10,Excel,2007,No,
97,Spindle,Spindle Assembly,QC,Laser Room,BAR.-435,PC,-,-,QC,Win10,Yes,QW6J2-2NC2K-JYTYD-RHVD9-3RR9C,Win10,-,-,-,
98,Spindle,Spindle Assembly,QC,Laser Room,BAR.-449,PC,-,-,QC,Win10,Yes,BFG8J-GNB2P-PCH86-QRW4G-PDKTP,Win10,-,-,-,
99,Spindle,Spindle Assembly,QC,Laser Room,BAR.-038,PC,-,-,QC,Win10,Yes,TN6DR-6GHPV-KGPC4-PH339-7XMP2,Win10,-,-,-,
100,Spindle,Spindle Assembly,QC,Laser Room,BAR.-940,PC,-,-,QC,Win10,Yes,,Win10,-,-,-,
101,Spindle,Spindle Assembly,Production,Co2,CO2.-001,PC,-,-,Production,Win10,Yes,D8VGX-HWDPH-3P9DY-33P2T-DH4PF,Win10,-,-,-,
102,Spindle,Spindle Assembly,Production,Co2,CO2.-002,PC,-,-,Production,Win10,Yes,3YFXR-CNKTW-XBF93-64PG9-6CQGP,Win10,-,-,-,
103,Spindle,Spindle Assembly,Production,Co2,CO2.-004,PC,-,-,Production,Win10,Yes,CBN4P-2JR2P-QQHXB-8YX83-XHJXC,Win10,-,-,-,
104,Spindle,Spindle Assembly,Production,Co2,CO2.-005,PC,-,-,Production,Win10,Yes,HPFYN-JMD8Y-DGPTJ-KFTKB-B4G6P,Win10,-,-,-,
105,Spindle,Spindle Assembly,Production,Co2,CO2.-006,PC,-,-,Production,Win10,Yes,NF82Q-YBCM6-TXDK9-HX8BJ-CPQGP,Win10,-,-,-,
106,Spindle,Spindle Assembly,Production,Co2,CO2.-007,PC,-,-,Production,Win10,Yes,XTRF2-BCNQQ-DQ3JT-8XHKF-GXXTP,Win10,-,-,-,
107,Spindle,Spindle Assembly,Production,Co2,CO2.-008,PC,-,-,Production,Win10,Yes,R8M7N-KWCJW-YTK2T-2JT8D-9D722,Win10,-,-,-,
108,Spindle,Spindle Assembly,Production,Co2,CO2.-009,PC,-,-,Production,Win10,Yes,6K6FD-QNYTC-DKQ8R-DMYDQ-9766P,Win10,-,-,-,
109,Spindle,Spindle Assembly,Production,Co2,CO2.-010,PC,-,-,Production,Win10,Yes,8BJ63-NCM2C-JDBPW-PJY7Y-B4G6P,Win10,-,-,-,
110,Spindle,Spindle Assembly,Production,Co2,CO2.-011,PC,-,-,Production,Win10,Yes,796NC-FCDBX-2BQQH-DM7JC-D69TP,Win10,-,-,-,
111,Spindle,Spindle Assembly,Production,Co2,CO2.-013,PC,-,-,Production,Win10,Yes,X4XNC-427P7-6JGH3-8FYV6-722KC,Win10,-,-,-,
